Order ID,Order Date,Product Name,Category,Region,Sales,Profit,Quantity
ORD-49829,2022-01-01,A4 Paper Ream,Office Supplies,South,43.62,8.37,7
ORD-30636,2022-01-01,A4 Paper Ream,Office Supplies,West,9.24,1.52,1
ORD-42550,2022-01-01,Glass Coffee Table,Furniture,West,2432.26,259.26,7
ORD-16832,2022-01-02,Herman Miller Chair,Furniture,West,871.11,84.33,1
ORD-74003,2022-01-03,Logitech Wireless Mouse,Technology,Central,315.72,74.68,10
ORD-98940,2022-01-03,Sony Headphones,Technology,West,1756.99,313.04,10
ORD-96154,2022-01-03,Logitech Wireless Mouse,Technology,East,280.25,95.32,6
ORD-37973,2022-01-03,Filing Cabinet,Furniture,East,399.13,60.51,2
ORD-22697,2022-01-04,Whiteboard Markers,Office Supplies,East,39.38,11.68,3
ORD-50737,2022-01-04,Whiteboard Markers,Office Supplies,West,84.51,17.05,6
ORD-65982,2022-01-05,Stapler Set,Office Supplies,South,139.04,49.86,9
ORD-61173,2022-01-05,Herman Miller Chair,Furniture,West,6831.02,997.99,7
ORD-36644,2022-01-06,Highlighter Pack,Office Supplies,West,28.43,7.59,2
ORD-91600,2022-01-08,A4 Paper Ream,Office Supplies,East,30.76,9.19,3
ORD-81584,2022-01-09,Sony Headphones,Technology,South,355.65,95.08,3
ORD-92141,2022-01-09,Logitech Wireless Mouse,Technology,West,39.19,6.78,1
ORD-11682,2022-01-09,Sticky Notes Pack,Office Supplies,West,37.4,11.05,3
ORD-83100,2022-01-10,Samsung Galaxy Tab,Technology,South,2694.84,337.4,7
ORD-66403,2022-01-11,Apple MacBook Pro,Technology,Central,5606.91,1376.05,5
ORD-30760,2022-01-11,Wooden Bookshelf,Furniture,Central,2072.27,308.98,10
ORD-55838,2022-01-11,Sticky Notes Pack,Office Supplies,South,41.21,14.54,5
ORD-63668,2022-01-14,Herman Miller Chair,Furniture,Central,1816.25,261.65,2
ORD-73564,2022-01-14,HP LaserJet Printer,Technology,South,1150.29,139.47,5
ORD-42075,2022-01-14,Leather Sofa,Furniture,East,13418.14,2536.86,10
ORD-57555,2022-01-14,Sticky Notes Pack,Office Supplies,West,74.52,23.53,7
